"","Superfamily","Family","Genus","species","TotalBodyMass_mg","HeadWidth_mm","BrM_mg_scaled","Nuclei","StDev","CV"
"671","Apoidea","Sphecidae","Sceliphron","caementarium",100.5,4.12,4.8,NA,NA,NA
"672","Apoidea","Crabronidae","Sphecius","corvallis",547.4,6.28,11.7,858600,220013,0.25625
"675","Ichneumonoidea","Ichneumonidae","Spilichneumon","sp.",56,2.35,0.47,90025,37996,0.42206
"676","Ichneumonoidea","Ichneumonidae","Spilichneumon","sp.",45,2.2,0.56,202800,30380,0.1498
"678","Ichneumonoidea","Ichneumonidae","Spilichneumon","sp.",57,2.32,0.82,228475,37380,0.16361
"679","Ichneumonoidea","Ichneumonidae","Spilichneumon","sp.",57,2.4,0.59,230750,46772,0.2027
"681","Vespoidea","Vespidae","Stenodynerous","sp.",17.53,2.28,0.82,657455,81068,0.12331
"682","Vespoidea","Vespidae","Stenodynerous","sp.",16.48,1.85,0.61,841020,206171,0.24514
"683","Vespoidea","Vespidae","Stenodynerous","sp.",10.26,1.74,0.5,NA,NA,NA
"684","Vespoidea","Vespidae","Stenodynerous","sp.",17.92,1.85,0.59,NA,NA,NA
"685","Apoidea","Apidae","Tetraloniella","sp.",24.61,2.6,0.67,NA,NA,NA
"686","Apoidea","Apidae","Tetraloniella","sp.",26.46,2.59,0.8,NA,NA,NA
"687","Apoidea","Apidae","Tetraloniella","sp.",22.74,2.64,0.83,NA,NA,NA
"688","Apoidea","Apidae","Tetraloniella","sp.",27.5,2.66,0.89,NA,NA,NA
"691","Vespoidea","Vespidae","Vespa","vulgaris",53.7,3.62,2.37,NA,NA,NA
"694","Apoidea","Apidae","Xylocopa","californica",855.2,7.61,4.9,1037400,168700,0.16262
"695","Apoidea","Apidae","Xylocopa","californica",805.5,7.2,5.66,1039700,149356,0.14365
"696","Apoidea","Apidae","Xylocopa","californica",929.4,7.79,6.3,1044225,201337,0.19281
"699","Apoidea","Apidae","Xylocopa","californica",714.7,7.65,6.06,1130675,181383,0.16042
"700","Apoidea","Apidae","Xylocopa","californica",804.4,7.31,5.19,1142050,204834,0.17936
"702","Apoidea","Apidae","Xylocopa","californica",833.8,7.39,3.96,1168213,174338,0.14923
"703","Apoidea","Apidae","Xylocopa","californica",776.5,7.1,6.2,1169350,215078,0.18393
"706","Apoidea","Apidae","Xylocopa","californica",905,7.64,6.08,1267500,151600,0.11961
"710","Apoidea","Apidae","Xylocopa","californica",421.9,6.59,4.69,1349075,190053,0.14088
"712","Apoidea","Apidae","Xylocopa","californica",753.3,7.67,4.39,1460550,245213,0.16789
"725","Apoidea","Apidae","Xylocopa","californica",800.37,7.48,5.9,NA,NA,NA
"729","Apoidea","Apidae","Xylocopa","californica",802.3,7.38,NA,NA,NA,NA
"735","Apoidea","Apidae","Xylocopa","californica",744.7,7.3,8.3,NA,NA,NA
